ticker,signal_date,entry_date,exit_date,position,pred_prob,raw_return,net_return
GOOGL,2017-03-30,2017-03-31,2017-04-03,1,0.5563565442681075,0.002267178809393533,0.00026717880939353296
GOOGL,2017-04-12,2017-04-13,2017-04-17,1,0.5715407874152018,0.00040426209628185994,-0.00159573790371814
GOOGL,2017-04-13,2017-04-17,2017-04-18,1,0.5518876872155913,0.013263886931368374,0.011263886931368374
GOOGL,2017-04-17,2017-04-18,2017-04-19,1,0.5521920817058903,0.0056887720262011054,0.0036887720262011054
GOOGL,2017-04-20,2017-04-21,2017-04-24,1,0.574202821319658,0.0090865217383298,0.0070865217383298
GOOGL,2017-04-24,2017-04-25,2017-04-26,1,0.5549038483761695,0.010348314202648368,0.008348314202648368
GOOGL,2017-05-01,2017-05-02,2017-05-03,-1,0.4336972355316656,0.002978821349292504,-0.004978821349292504
GOOGL,2017-05-11,2017-05-12,2017-05-15,1,0.5768120272193584,-0.002672615440546755,-0.004672615440546755
GOOGL,2017-05-15,2017-05-16,2017-05-17,1,0.5630310509009425,-0.003995716610735389,-0.005995716610735389
GOOGL,2017-05-16,2017-05-17,2017-05-18,1,0.5625574766468224,-0.01719290637575488,-0.01919290637575488
GOOGL,2017-05-17,2017-05-18,2017-05-19,1,0.5741461315679665,0.010199373929566491,0.008199373929566491
GOOGL,2017-05-26,2017-05-30,2017-05-31,-1,0.4137178951708481,0.0037380977660290693,-0.005738097766029069
GOOGL,2017-06-12,2017-06-13,2017-06-14,-1,0.4265672428460743,0.003559402552812063,-0.005559402552812063
GOOGL,2017-06-20,2017-06-21,2017-06-22,1,0.5589395535529679,0.006262750195335398,0.004262750195335398
GOOGL,2017-06-22,2017-06-23,2017-06-26,1,0.573456948494514,0.014864053900117247,0.012864053900117247
GOOGL,2017-06-23,2017-06-26,2017-06-27,1,0.5510894673229145,-0.02868675433247414,-0.030686754332474142
GOOGL,2017-07-03,2017-07-05,2017-07-06,1,0.5564159570684781,0.0008656174313923515,-0.0011343825686076486
GOOGL,2017-07-10,2017-07-11,2017-07-12,1,0.562901868301437,0.010878289191210921,0.008878289191210921
GOOGL,2017-07-18,2017-07-19,2017-07-20,-1,0.4383079128839038,0.007060352893519806,-0.009060352893519806
GOOGL,2017-07-19,2017-07-20,2017-07-21,1,0.5608213846924096,-0.008024012446220419,-0.010024012446220419
GOOGL,2017-08-15,2017-08-16,2017-08-17,1,0.5639472230689394,0.001806201725618406,-0.00019379827438159407
GOOGL,2017-08-16,2017-08-17,2017-08-18,1,0.5604396890275517,-0.01693625111360131,-0.01893625111360131
GOOGL,2017-08-17,2017-08-18,2017-08-21,1,0.5601763478868828,-0.0013052494817168414,-0.0033052494817168415
GOOGL,2017-08-21,2017-08-22,2017-08-23,1,0.5682217777248982,0.010831103053221547,0.008831103053221547
GOOGL,2017-08-23,2017-08-24,2017-08-25,1,0.5616948512580803,-0.0047684690315290545,-0.006768469031529055
GOOGL,2017-08-24,2017-08-25,2017-08-28,1,0.5704477589282592,-0.007804364416534204,-0.009804364416534204
GOOGL,2017-08-25,2017-08-28,2017-08-29,1,0.5543509309022657,-0.0128020877919236,-0.0148020877919236
GOOGL,2017-08-28,2017-08-29,2017-08-30,1,0.5576522668467386,0.01708791391281661,0.01508791391281661
GOOGL,2017-09-20,2017-09-21,2017-09-22,1,0.5677911444625302,-0.005653239523710996,-0.007653239523710996
GOOGL,2017-09-22,2017-09-25,2017-09-26,1,0.5731730978143867,-0.002937849406187798,-0.004937849406187798
GOOGL,2017-09-25,2017-09-26,2017-09-27,1,0.5971580191600686,0.006458837092762959,0.004458837092762959
GOOGL,2017-09-27,2017-09-28,2017-09-29,1,0.5902841875434218,0.010195964410235847,0.008195964410235847
GOOGL,2017-10-04,2017-10-05,2017-10-06,1,0.5611247753074501,0.007411800591042628,0.005411800591042628
GOOGL,2017-10-10,2017-10-11,2017-10-12,1,0.5554022120301731,0.014964039543196028,0.012964039543196028
GOOGL,2017-10-20,2017-10-23,2017-10-24,-1,0.4465363031827838,-0.018583702259869384,0.01658370225986938
GOOGL,2017-11-21,2017-11-22,2017-11-24,1,0.5653183586368612,0.0030727868287661053,0.0010727868287661053
GOOGL,2017-11-27,2017-11-28,2017-11-29,1,0.5613653230925512,-0.016583273375809116,-0.018583273375809117
GOOGL,2017-11-28,2017-11-29,2017-11-30,-1,0.40157371533966085,-0.015376022770142495,0.013376022770142494
GOOGL,2017-12-06,2017-12-07,2017-12-08,1,0.561642852346694,0.015191983101763284,0.013191983101763284
GOOGL,2017-12-11,2017-12-12,2017-12-13,1,0.5549839773455838,0.0019808458359151793,-1.9154164084820777e-05
GOOGL,2017-12-18,2017-12-19,2017-12-20,-1,0.44478032987320576,-0.0019390400409704522,-6.09599590295478e-05
GOOGL,2018-02-01,2018-02-02,2018-02-05,1,0.5660815443518733,-0.023779952605321064,-0.025779952605321066
GOOGL,2018-02-02,2018-02-05,2018-02-06,-1,0.44706830488316174,-0.060539082945708755,0.058539082945708754
GOOGL,2018-02-08,2018-02-09,2018-02-12,-1,0.4481801820420775,0.03001326909606128,-0.03201326909606128
GOOGL,2018-02-14,2018-02-15,2018-02-16,1,0.6012720494892574,0.009164984981369972,0.007164984981369972
GOOGL,2018-02-15,2018-02-16,2018-02-20,1,0.5982507863652762,-0.0005668642417849812,-0.0025668642417849812
GOOGL,2018-02-20,2018-02-21,2018-02-22,1,0.5775364265437296,0.00907936918529173,0.00707936918529173
GOOGL,2018-02-21,2018-02-22,2018-02-23,1,0.562144893045916,-0.0004557221787180321,-0.002455722178718032
GOOGL,2018-02-22,2018-02-23,2018-02-26,1,0.5502696536543791,0.01179978458843034,0.00979978458843034
GOOGL,2018-03-05,2018-03-06,2018-03-07,1,0.5687125448634013,-0.008420242043250425,-0.010420242043250426
GOOGL,2018-03-07,2018-03-08,2018-03-09,1,0.5778798544021106,0.019960525627838788,0.017960525627838786
GOOGL,2018-03-08,2018-03-09,2018-03-12,1,0.5807732186700858,0.022422071572214763,0.02042207157221476
GOOGL,2018-03-12,2018-03-13,2018-03-14,1,0.55470126001483,-0.022212983925763208,-0.02421298392576321
GOOGL,2018-03-15,2018-03-16,2018-03-19,1,0.5748932591874404,-0.03253570640892567,-0.03453570640892567
GOOGL,2018-03-20,2018-03-21,2018-03-22,1,0.5892192148403013,-0.01149602968867447,-0.01349602968867447
GOOGL,2018-03-21,2018-03-22,2018-03-23,1,0.5879811639262028,-0.026518084613279425,-0.028518084613279426
GOOGL,2018-03-22,2018-03-23,2018-03-26,1,0.613238615114866,-0.0007324879334817957,-0.002732487933481796
GOOGL,2018-03-23,2018-03-26,2018-03-27,1,0.6433222620256107,0.01265941319657271,0.01065941319657271
GOOGL,2018-03-26,2018-03-27,2018-03-28,1,0.6216811818531466,-0.05826665903540129,-0.06026665903540129
GOOGL,2018-03-27,2018-03-28,2018-03-29,1,0.6747069303551722,0.009282229351102789,0.007282229351102789
GOOGL,2018-03-28,2018-03-29,2018-04-02,1,0.6683309108266074,0.01622813742199236,0.014228137421992361
GOOGL,2018-03-29,2018-04-02,2018-04-03,1,0.7094007866083387,-0.011161844247080333,-0.013161844247080333
GOOGL,2018-04-02,2018-04-03,2018-04-04,1,0.6899669485545825,-0.017635104054995576,-0.019635104054995578
GOOGL,2018-04-03,2018-04-04,2018-04-05,1,0.7069404989058496,0.048245491819011166,0.046245491819011164
GOOGL,2018-04-04,2018-04-05,2018-04-06,1,0.7384618028250097,-0.02225751448124047,-0.024257514481240472
GOOGL,2018-04-05,2018-04-06,2018-04-09,1,0.6962186970862309,-0.0029909324053397635,-0.0049909324053397635
GOOGL,2018-04-06,2018-04-09,2018-04-10,1,0.7471451697990078,0.010019318135917166,0.008019318135917166
GOOGL,2018-04-09,2018-04-10,2018-04-11,1,0.7154782692720385,0.001688746261392371,-0.0003112537386076291
GOOGL,2018-04-10,2018-04-11,2018-04-12,1,0.7119028130933909,-0.0005134975505075579,-0.002513497550507558
GOOGL,2018-04-11,2018-04-12,2018-04-13,1,0.7026949896609703,0.014949545996691738,0.012949545996691738
GOOGL,2018-04-12,2018-04-13,2018-04-16,1,0.6948454011836805,-0.0012799472801833245,-0.0032799472801833245
GOOGL,2018-04-13,2018-04-16,2018-04-17,1,0.7058965220923874,0.014968088010598679,0.012968088010598679
GOOGL,2018-04-16,2018-04-17,2018-04-18,1,0.6795510427070367,0.01678292710141882,0.01478292710141882
GOOGL,2018-04-17,2018-04-18,2018-04-19,1,0.6562651144406806,-0.009258493302432336,-0.011258493302432336
GOOGL,2018-04-25,2018-04-26,2018-04-27,1,0.634994866853292,0.011924004055921866,0.009924004055921866
GOOGL,2018-04-26,2018-04-27,2018-04-30,1,0.652853488364641,-0.010635499016224292,-0.012635499016224292
GOOGL,2018-04-27,2018-04-30,2018-05-01,1,0.6634608038509225,-0.017517241363189218,-0.01951724136318922
GOOGL,2018-04-30,2018-05-01,2018-05-02,1,0.6657617755523353,0.017416245129951546,0.015416245129951546
GOOGL,2018-05-01,2018-05-02,2018-05-03,1,0.7145367290856851,-0.008346324545765338,-0.010346324545765338
GOOGL,2018-05-02,2018-05-03,2018-05-04,1,0.6623545571013081,-0.005617464528310578,-0.0076174645283105785
GOOGL,2018-05-03,2018-05-04,2018-05-07,1,0.6658455101647385,0.03362060315347337,0.03162060315347337
GOOGL,2018-05-04,2018-05-07,2018-05-08,1,0.7234155088301792,0.010181345454734814,0.008181345454734814
GOOGL,2018-05-07,2018-05-08,2018-05-09,1,0.6249390900735864,-0.000488303255137823,-0.002488303255137823
GOOGL,2018-05-08,2018-05-09,2018-05-10,1,0.6113683483394894,0.029038572175950073,0.02703857217595007
GOOGL,2018-05-09,2018-05-10,2018-05-11,1,0.5926006518957299,0.004940612627187813,0.0029406126271878125
GOOGL,2018-05-22,2018-05-23,2018-05-24,1,0.5501065053356418,0.015794333991558718,0.013794333991558718
GOOGL,2018-05-24,2018-05-25,2018-05-29,1,0.5774441788013244,-0.009709750663256633,-0.011709750663256633
GOOGL,2018-05-25,2018-05-29,2018-05-30,1,0.5517271754839805,-0.002341929674016474,-0.004341929674016474
GOOGL,2018-05-29,2018-05-30,2018-05-31,1,0.5968745466980503,0.007936814669504688,0.005936814669504688
GOOGL,2018-05-31,2018-06-01,2018-06-04,1,0.6134858364263875,0.0230304495737923,0.021030449573792298
GOOGL,2018-06-01,2018-06-04,2018-06-05,-1,0.4387425351711796,0.014194256623101031,-0.016194256623101033
GOOGL,2018-06-12,2018-06-13,2018-06-14,-1,0.4475225177135789,-6.07241763372901e-05,-0.00193927582366271
